title,create_time,link,content,source,funding_round
腾讯参投宜品生鲜B轮融资，持股比例预计不超20%,2019-03-12 10:32:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341959.shtml,据天眼查数据显示，腾讯产业共赢基金于近日参投宜品生鲜B轮融资，持股比例预计10%-20%。   在此之前，宜品生鲜曾获得今日资本2.4亿元的A轮融资。   据悉，谊品生鲜团队有多个长期合作的采购基地，直接去农户家采购。采购海鲜商品时，会直接把采购船开到海中渔船的旁边，实现直接采购。是一家生鲜提供商，并提供配送上门服务。,蓝鲸TMT,B轮
工业机器人研发商“智昌集团”完成2亿元B轮融资 启明创投领投,2019-03-12 10:29:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341958.shtml,浙江智昌机器人科技有限公司(以下简称“智昌集团”)近日宣布已于2018年年底完成2亿元B轮融资，由启明创投领投，领中资本旗下的宁波领中长三角机器智能基金完成共同投资。此前于2017年7月，智昌集团完成A轮融资。自2016年6月成立以来，智昌集团实现了业务快速增长，2018年实现营业收入超3亿元。   智昌集团是由首批海外高层次人才特聘专家甘中学博士创立的机器人及智能制造企业集群。紧紧围绕机器人控制技术、工业群智控制技术，成功开发出拥有自主知识产权的锐智高性能机器人控制器、群智网络控制器、工业4.0智能引擎等核心产品，作为工业4.0集成业务中的核心模块，正被广泛应用到在智能工厂建设中，可实现智能工厂全流程工艺数据闭环控制、全流程质量信息追溯和全方位智能物流管控。   基于核心运动控制技术，智昌机器人核心技术为全息反馈补偿和工艺大数据学习前馈，实现“三闭环、三流融合、三级智能”，拥有“快、准、稳、协、智、柔”的特点。目前，智昌集团已拥有从控制器、伺服电机、多轴机器人、双臂协作机器人、即插即用模块机器人、智能工厂等全系列研发生产能力。   基于智昌群智网络控制技术，智昌集团积极打造工业4.0智能引擎，拥有从工作站、生产线、智能工厂等集成设计和施工能力，目前主攻新能源电池、新能源汽车、纺织产业，并在激光焊接、装配两个领域形成明显优势。   2018年，智昌集团自主研发了新型七自由度协作机器人、双臂柔性协作机器人，面对未来个性化定制下的柔性制造模式，新型七自由度协作机器人、双臂柔性协作机器人将进一步为公司开发未来更大的潜在市场。   锐智控制器经过市场的应用，产品不断优化升级，以满足更多智能装备的需要；2018年，智昌集团也进一步加强了集成化产品的设计，推出了激光切割领域的集成工作站，在细分市场引领同类产品，已在汽车零部件、新能源、新材料等领域开拓市场客户。   此外，智昌集团掌握了机器人控制“硬核”技术，其研发能力获得了市场的高度认可。自主研发的锐智高性能机器人控制器入选国家2017年度重点研发计划“智能机器人”重点专项。2018年中标工信部组织实施的“2018年工业强基工程”项目第9分包“高速高性能机器人伺服控制器和伺服驱动器”项目。,铅笔道,B轮
进口品零售商KK馆完成4亿元C轮融资，再度加码线下零售,2019-03-12 10:14:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341952.shtml,进口品零售品牌KK馆完成4亿元C轮融资，本轮融资由eWTP科技创新基金领投，洪泰基金跟投。同时，原有股东经纬中国、璀璨资本、黑藻资本、深圳市创新投资集团等亦悉数跟投。据公开信息了解，这也是2019年新零售领域的一笔标志性融资事件。   KK馆创始人兼CEO吴悦宁对亿欧表示，本轮融资将重点用于加强供应链及渠道体系建设；加速线下门店扩张、强化业态布局，抢占更大的市场份额；持续投入产品迭代及品牌升级，继续提升性价比和用户体验，覆盖普及更多消费客群，以提升营收能力。   KK馆是一家融合“线上商城+线下门店”的全品类互联网集合店。线上打造爆品拼团、粉丝评价、社交推荐等购物环节，线下是集购物、休闲、社交、互动于一体的互联网集合店。   KK馆自2014年加入到进口品实体零售之列，凭借早期在数据系统的巨大投入，KK馆积累了强大的用户线下消费大数据与分析能力，实现了商品的高效汰换与周转。与此同时，KK馆的扩张模式也从直营，过渡到2018年开放了财务投资型加盟，加盟方提供优质的场地资源，以托管模式交给KK馆进行集中管控。   据了解，过去3年，KK馆已在全国核心城市布局了超过100家线下门店，配合其应用程序、小程序等线上平台，已形成围绕进口品消费的一站式服务闭环场景，实现了线上线下打通、数据驱动业务、渠道互相协同拉动。   官方数据显示，自2017年至2018年4月，KK馆总体营业额月增幅保持在20%左右；门店数增加至近50家，2018年预计在一二线城市新增200家门店；坪效在4000元/月，部分门店可达8000元/月，相比业内平均水平为2000元/月。   吴悦宁认为，目前全球零售消费市场正经历重构与变革，随着中国线上流量红利的消失，消费趋势走向分级、消费习惯回归性价比，新人群、新商品、新场景正带来巨大的机遇，KK馆致力于通过数据化、全渠道化推动进口品乃至泛零售行业的重构，成为拉动国民零售消费分级的新引擎。本轮融资不仅能够进一步强化自身资金实力，更能助推零售产业链的创新升级，推动全产业服务效率与体验的大幅提升。   据了解，在即将到来的3月31日KK合作伙伴大会上，KK馆将宣布全新加盟政策，这也是KK馆有意进一步规模化扩张的表现。与此同时亿欧也了解到，KK馆内部已经在研发大数据库，这个大数据库会基于消费者每次购买的产品和各个门店本身的销售情况，去进行不同的对比和分析，从而预测下个月这个门店应该上哪些货，上多少量，从而再去倒推KK馆的物流和仓储体系。而在本质上，KK馆希望成为基于零售业态的大数据公司。   璀璨资本创始合伙人罗挺霞曾在2019亿欧消费新品牌沙龙中表示，KK馆打造线下门店的核心一是没有打扰的服务，另一个是极简空间，因为在极简的风格里面，消费者天然会产生一种信任感。在后端，KK馆也有比较完整的供应链体系，保证较高的毛利率。所以这种基于线下的重服务、重体验的新型业态，本质上是效率的提升，要确保各个环节的效率都是最优的，就能获得极高的毛利率。,亿欧网,C轮
Tmxmall获1800万元A轮融资，由广州市思科尔投资领投,2019-03-12 09:15:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341922.shtml,"近日，上海一者信息科技有限公司（以下简称为“Tmxmall”）宣布完成1800万元A轮融资，本轮由广州市思科尔投资领投。作为一家智能机器翻译领域的应用企业，Tmxmall将加速自然语言处理和深度学习研发和全面的商业化步伐。   随着我国多边贸易体制全球化行动的推进，高效利用信息技术完成海量资料的快速自动翻译成为难题和刚需。自成立至今，Tmxmall致力通过多语种大数据和NLP机翻技术为语言服务创造价值，其多语种语料大数据及在线智能翻译管理平台运行至今已成为专业译员和企业在线智能翻译首选解决方案。   人工智能机器翻译迅猛发展，多语言多领域高质量语料大数据成为谷歌、BAT、有道、搜狗等机器翻译厂家必争的核心资源。Tmxmall推出了语料在线对齐、语料检索、语料管理再到语料共享的完整生态链产品，在语料自动对齐及海量语料数据实时检索技术已达到国际领先水平。Tmxmall在线对齐凭借高效智能对齐算法和极佳的用户体验，成为国内外高校外语学院教学及语言服务企业建设语料库首选产品，也赢得了与华为、强生制药、中伦律师事务所等知名企业的实质性合作。2018年，Tmxmall牵头起草的《语料对齐工具的技术通则》国家标准已获立项，引领制定语料对齐工具标准，树立行业典范，填补当前国内外语料对齐工具标准和规范缺失的空白。   Tmxmall自主研发的多语言智能翻译管理平台YiCAT，推出仅一年多，已支持近50种语言、近40种文件格式、海量记忆库和术语库管理、团队管理及多人协同翻译、译审同步、集成10种机器翻译引擎等核心功能，真正帮助翻译人员高效完成翻译任务，助力语言服务企业实现全流程数字化翻译生产体系，已迅速发展为国内外最受欢迎、最具竞争力的智能翻译平台之一。   在CAT软件研发过程中，除了复杂的翻译业务逻辑外，难度最大的是多种文件格式的解析与回填工作。要做好一款让用户满意的CAT，动辄就要支持几十种以上的文件格式。每种文件格式都需要有专门的文件解析器来提取文本，Tmxmall就文件格式解析与回填投入了大量的技术研发，已在YiCAT和qtrans文档快翻等成熟产品中应用，该技术在行业内有绝对的领先优势。目前Tmxmall已开放文档解析API，帮助第三方企业快速支持近40种文件格式、近50种语言的文件翻译。目前已有超过10家语言服务技术企业接入文档解析API，同时多家互联网巨头企业也表达出对该技术的合作意向。   凭借自身积累的超十亿句对高质量精准分类语料数据，Tmxmall利用行业领先的神经网络机器翻译技术，已训练出医药、法律、财经、汽车、IT、新闻等垂直领域机器翻译引擎。经测试，Tmxmall垂直领域机器翻译的译文质量比谷歌翻译平均高出3~5个BLEU值,并成功应用到Tmxmall明星产品qtrans文档快翻中。qtrans文档快翻可根据用户文本内容自动选择最合适的垂直领域机器翻译引擎，快速准确翻译Word、Excel、PPT、PDF（包括扫描版）等文件，同时完美保留原文格式，适合跨境电商、外贸公司、移民机构、高校师生等有大量翻译需求的机构或人士。目前qtrans文档快翻已成为用户最受欢迎的文件翻译产品之一。   近年来，多语言翻译需求呈爆发式增长，人工智能翻译平台也成为资本关注的热点。全业务云端翻译平台Smartling近期获C轮融资2400万美元，提供内容抓取、翻译资源、在线生成网站、后期数据监测全流程服务。俄罗斯自动翻译平台SmartCAT宣布完成了700万美元的A轮融资，聚焦在利用SaaS平台为企业提供翻译流程自动化服务。Tmxmall创始人兼CEO张井说：“Tmxmall在资本寒冬中能够逆势融资，表明投资方对Tmxmall团队以及发展方向的认可，目前Tmxmall人工智能翻译平台在国内处于领跑的位置，今后将聚焦在多媒体自动翻译、翻译流程自动化、人机交互式机器翻译等核心技术，力争发展成为全球顶尖的智能翻译平台。”   2018年Tmxmall已获高新技术企业认证，申请及授权专利数10项，已获国家软件著作权30余项和授权商标8项。核心技术团队来自于百度华为，目前团队拥有近40名成员，成员大多毕业于复旦大学、同济大学、上海外国语大学、天津大学、西北工业大学等全国“双一流” 知名院校，60%以上拥有硕士研究生学位。   目前，Tmxmall平台用户增长迅速，每日新增译员注册数超过300人，共计注册用户数已破10万，已为国内外数百家知名高校和上千家企业提供产品服务。2017年Tmxmall与上海产研院众创空间签署创新合作伙伴，双方在人工智能、大数据舆情分析方面开展深度业务合作。2018年Tmxmall已实现收支平衡，2019年将实现盈利。   未来，Tmxmall将吸收更多优秀的AI人才，加大人工智能和大数据技术的研发投入，并积极探索语言智能技术在外语教育与人才培养方面的多元应用。",投中网,A轮
社交获客变现平台财金科技获近千万元Pre-A轮融资,2019-03-12 09:14:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341943.shtml,近日安徽财金信息科技有限公司（以下简称“财金科技”）宣布完成近千万元的Pre-A轮融资。本轮融资由万豪投资、盛港投资两家机构共同参与投资。   财金科技表示，此轮融资将用于加速i代、流量云系列产品的研发以及软硬件一体化解决方案的规模化应用。财金科技将携手各行业合作伙伴，落实技术创新，优化用户体验，助力用户获客变现。   资料显示，财金科技成立于2015年9月，在合肥、北京等地均有分公司，旗下产品以i代、流量云为代表，聚焦于为个人或企业提供获客变现解决方案。   据财金科技方面表示，i代是一款为个人提供推广赚钱的APP，平台提供信用卡、借贷、电商等多元化产品方案让个人通过社交圈的场景进行推广获得交易广告分成。未来，i代将围绕会员在省钱、赚钱、花钱方面提供全生命周期服务。截止至2018年末，i代用户量已超过500万，为10万会员用户实现流量变现数额近亿元，更为近300家知名金融机构、商业银行提供安全优质的流量输入。   此外，为了更好地满足企业用户的需求，财金科技自主研发设计了适用于企业变现的流量云系统，旨在解决中小型企业变现难、业务拓展难、资源对接难的诸多难题。同时，针对获客变现场景，优化推广数据系统，尽可能做到实时变现。目前，已累计为近百家中小企业提供获客变现解决方案。   在变现结算系统稳定的基础上，财金科技为用户提供可定制化应用和服务，为企业用户提供API、SDK等SAAS级解决方案。   财金科技创始人兼CEO王钦表示：“近年来互联网领域都在谈流量、谈变现，都在思考如何获取流量，获得流量后如何变现，i代、流量云的诞生也正是基于这个思考。互联网产品的核心是为用户服务，而财金科技的企业使命便是让获客变现更简单，这个使命的面向对象就是用户。财金科技将从用户的实际需求出发，通过新技术、新理念不断优化产品结构、产品迭代等，为用户提供极体验。”,猎云网,Pre-A轮
柏林数字汽车保险创企FRIDAY获1.14亿欧元战略融资,2019-03-12 09:08:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341941.shtml,据悉，来自柏林的保险科技初创公司FRIDAY，通过媒体换股权和股权融资相结合的方式获得了1.14亿欧元融资。其中，3900万欧元来自与SevenVentures和媒体投资者German Media Pool的媒体股权交易，FRIDAY的创始人兼大股东Baloise Group向该公司追加投资了7500万欧元。   FRIDAY提供创新的数字汽车保险，具有公里精确计费、每月结算和完全无纸化管理等特点。这家初创公司自2017年成立以来，已经获得了4.5万多名新客户，其目标是到2021年成为德国最受欢迎的数字保险公司。本轮融资将刺激未来增长，并支持进一步的产品开发。   Baloise Group首席执行官Gert De Winter表示：“新投资者的媒体换股权投资表明，我们正在通过FRIDAY与时代精神接轨。我们的客户想要更简单的保险产品，我们将与新投资者一起确保广大客户对简单的保险解决方案充满热情。”   两年来，这家数字保险公司一直与ProSiebenSat.1媒体集团和German Medial Pool旗下的媒体公司进行合作。SevenVentures的加入使得FRIDAY能够宣传其具有深远影响的保险产品，并能够针对ProSiebenSat.1集团广告环境中的特定目标群体。而German Media Pool将为FRIDAY带来电视、广播、户外和印刷类别的媒体公司。   “通过容纳新的投资者，我们正在携手FRIDAY的合作伙伴迈出下一步，并帮助其扩大规模，”FRIDAY首席执行官Christoph Samwer说。“我们很高兴这些值得信赖的合作伙伴加入投资者的行列。”   “对数字保险产品领域的投资提供了相当大的潜力，” SevenVentures首席执行官Florian Pauthner表示。“FRIDAY进入规模达几十亿欧元的市场后，在最短的时间内取得了巨大的成功。凭借以客户为导向的产品开发，该团队实现了流程现代化，优化了客户体验。我们相信，凭借媒体投资和丰富的经验，我们将迅速打造品牌，赢得市场信心，并进一步推动FRIDAY的增长。最初的电视宣传活动已经显示出了良好的效果。”,猎云网,未透露
VPO微珀宣布完成千万人民币Pre-A融资,2019-03-12 09:04:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341940.shtml,国内电子雾化科技公司VPO微珀宣布完成千万人民币Pre-A融资，本轮融资由战略投资人领投。VPO创始人郝潇蒙表示，此次融资将用于新品持续研发与现在全渠道体系和电商体系建设。   VPO微珀由连续创业者郝潇蒙于2018年创立。在他看来，随着中国消费者健康意识的不断增强，电子烟的消费市场的真正市场机会不在于戒烟和替烟，而是与新的消费升级融合，变成雾化产品的场景消费市场，电子雾化科技是一场新的消费蓝海。   面对中国电子烟目前的产品开发、供应链和用户理解比较差的现状，VPO投入上千万资金用于产品的开发，引入了苹果公司的供应链公司，与国内顶级科技公司及专家级调香师合作，构建了完整的雾化科技产品体系。2018年9月上线了第一款换弹小烟——小V，12月推出了新产品一次性小烟——VPO Mini，2019年1月上线了另一款升级版一次性小烟——VPO Mini Pro，并计划于今年4月份将发布全新换弹小烟——VPO Plus。   市场增长要依赖于精准和有效的渠道终端，电子雾化产品在中国没有成熟的渠道体系，随着消费者用户多场景的购买和消费习惯，电子雾化渠道体系将呈现全渠道趋势。VPO在天猫、京东、唯品会、微商等电商完成布局；线下渠道已经进入了多家等传统连锁便利店渠道。2019年VPO推出百城计划，招募100个优质区域代理商，进入100个核心城市，进入100家便利店渠道，覆盖10000家终端门店。同时还组建了新零售的直营团队和技术团队，为代理商提供零售指导和服务，研发了基于社交和渠道管理的新零售用户和渠道系统，帮助代理商提升零售的效率和收益。   VPO创始人郝潇蒙认为：VPO致力于打造的雾化科技消费品牌正进入快车道，团队在产品knowhow的积累于2019年得到了消费者、合作伙伴和代理商的高度认可，新的融资引入了新零售的团队和资源，将快速覆盖核心城市，VPO第一款产品换弹小烟——小V仅天猫旗舰店单一渠道上线4个月已售出近3万套，12月相继推出的一次性电子烟VPO Mini 和VPO Mini Pro销售量在以每月平均500%的速度井喷式增长。   VPO核心团队成员来自于阿里巴巴、京东电商、YOHO！、国美电器、宏图三胞等领域，拥有丰富的品牌、硬件、电商新零售的管理经验，核心创始人创业项目获得过赛富亚洲等基金的投资，并成功获得退出。,铅笔道,未透露
集中式长租公寓品牌魔方公寓获1.5亿美元D轮投资,2019-03-12 09:01:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341938.shtml,集中式长租公寓品牌魔方公寓母公司魔方生活服务集团（以下简称：魔方）宣布完成1.5亿美元D轮融资，加拿大机构基金管理公司CDPQ为本轮战略投资方。   2016年4月，魔方宣布完成近3亿美元C轮融资，中航信托领投，华平投资跟投；2015年5月，魔方完成2亿美元B轮融资，华平投资领投；2013年3月，魔方完成数千万美元A轮融资，投资方为德同资本、华平投资。   CDPQ亚太区私募股权投资总经理林明安表示：“作为一家长期投资者，CDPQ致力于成为有建设性的股东，并且能与管理层和合作伙伴共同建立和发展优秀的公司，此次融资将为魔方的未来项目拓展提供资金保障和战略支持。魔方是一家充满希望的公司，是长租公寓市场中的领跑者，其团队在运营、项目开发和并购方面表现出领先优势和强大的执行能力。魔方已有的大众高度认可度和专业运营能力使得魔方在全国20个主要城市取得了成功。我们期待与魔方的投资方华平等建立合作关系，并与魔方的领导团队合作，进一步巩固魔方在行业中的领先地位。”   魔方生活服务集团董事长郑南雁表示：“发展长租公寓已经成为当下中国房地产发展的重要长效机制，魔方通过将闲置和低效利用的存量物业转变为人民群众需要的‘增量’租赁用房，创造了中国新时代下的租赁模式，既符合城市更新、产业发展以及政策导向，也满足了人民提升租住体验、追求美好生活的需求。   接下来，魔方将继续发挥深耕行业10年的先发优势，坚定不移地聚焦长租公寓领域，加强政企合作，积极参与到城市人才公寓建设和公租房运营管理中，聚焦产业、服务企业、支持创业，携手政府和企业，改善城市居住环境，创享美好租住生活！”   魔方生活服务集团CEO柳佳表示，“魔方此次融资将主要用于进一步提升品牌影响力，深化运营管理，完善IT系统和会员体系，进行项目并购及轻资产拓展，打造高效、便捷、智慧的公寓管理协作平台，为行业赋能，成为中国长租公寓管理第一品牌。”   魔方是行业内坪效较高的公寓运营商，精细化运营管理和领先的技术管理平台让门店收益实现最大化。另外通过云计算、大数据，人工智能和物联网技术的创新运用，魔方打造的智慧公寓，让租客的每一个生活场景都实现智能化、安全化、无人化。魔方还将智能化管理与APP结合，租客从找房看房，到签约入住和租后服务，以及入住后的生活需求包括出行、购物、社交等，都可以在APP上一键实现，让租客通过网购一样的体验实现高品质的智慧生活。   凭借在租赁领域的多年深耕，魔方积累了行业内最丰富的实战经验，其专注不但获得了资本的青睐，也累计了珍贵的项目研判和投资经验。在投资并购方面，魔方先后对国内多个知名的公寓项目进行投资，牵手优质公寓企业共同发展。   为了促进行业健康、稳定发展，提高整个行业的运营效率，魔方建立了行业资源共享机制，充分发挥魔方在产品、IT技术、运营、客源等方面的领先优势，通过运营经验共享、会员系统共享、客源共享，为行业赋能，实现多方互赢，共同开拓租赁市场。   此外，魔方同时启动了轻资产战略加速仪式。魔方已针对地产开发商、建筑商、物业持有者等已经探索出了加盟、托管、合资等多种灵活的合作模式。目前，魔方已实现在华南、华东等多地区国企合作的开拓，和当地企业成立合资公司，共同开展长租公寓项目管理、运营。此次融资有利于帮助魔方软硬件全面升级，进一步加快魔方在轻资产领域的拓展合作。,猎云网,D轮
虎博科技获3300万美元A轮融资，投资方为PAC、宜信新金融产业投资基金和高榕资本,2019-03-12 08:50:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341928.shtml,铅笔道获悉，智能金融搜索引擎“虎博科技”宣布完成3300万美金A轮融资，投资方为PAC、宜信新金融产业投资基金和高榕资本。虎博科技创始人兼 CEO陈烨表示，本轮融资将用于产品技术研发、商业化拓展、人才升级和国际化。   成立一年半以来，虎博科技已完成累计近4亿元人民币的融资。此前，虎博科技还曾获得由新世界集团成员新创建集团及高榕资本领投、新鸿基有限公司跟投的过亿元Pre-A轮融资，以及高榕资本、点亮基金和大众点评创始人张涛的数千万元天使轮投资。   虎博科技成立于2017年，是一家AI公司，以金融为首要落地场景。虎博科技基于深度学习及NLP（自然语言处理）技术，目前自主研发了七大金融领域的关键技术，包括智能搜索、智能推荐、机器阅读理解、总结、翻译、舆情分析及撰稿等，在此基础上推出了智能金融搜索和问答系统“虎博搜索”与其他产品。   陈烨表示，Pre-A 轮后，虎博科技从大规模测试阶段进入到市场化阶段，B 端商业化进展迅速，已经与国内外多家顶级金融机构、新闻集团、教育机构、政府和监管机构达成合作，客单价在百万级别。   盈利方面，面向企业用户的服务是虎博科技现阶段的营收主力，与企业端的合作模式以收取年费为主，C 端的短期及中期目标仍聚焦在用户规模，以后或推出增值服务。   虎博科技目前拥有百人规模的团队，以研发人员为主。创始团队包括深度学习、自然语言处理领域学界和产业界专家。创始人兼 CEO 陈烨曾担任美团点评高级副总裁，分管集团广告平台，此前曾任微软、eBay 和 Yahoo 担任主任科学家和研发总监，多次获得人工智能顶级会议的最佳论文奖。联合创始人兼首席科学家 John Canny 博士为加州大学伯克利分校计算机系教授，是 Canny 边缘检测算法的发明者。   未来，虎博科技从 B 端和 C 端方面出发，在 B 端不断拓展客户，创造营收，建立口碑；针对 C 端则切入更多场景，根据需求开发更多产品。并且，虎博科技还会将业务拓展到除金融外的其他领域。,铅笔道,A轮
东南亚“智能金融决策平台”Silot完成800万美元A轮融资，日本SBI领投,2019-03-11 13:58:00,https://www.chinaventure.com.cn/cmsmodel/news/detail/341894.shtml,东南亚“智能金融决策平台”Silot于近期完成800万美金A轮融资，本轮融资由日本SBI领投，住友商事和三菱日联金融集团(MUFG)旗下Krungsri Finnovate和老股东Arbor Ventures跟投。   据了解，本次融资将主要用于知识图谱领域研究，市场拓展及金融产品创新。   Silot于2017年初成立于新加坡，成立之初获得真格基金天使轮投资，是真格在东南亚出手的首个项目。同年12月，Silot获得Arbor Ventures和斯道资本的Pre-A轮投资。   Silot的核心是通过快速和可延展的人工智能技术，帮助东南亚银行从传统决策方式向智能化转型。现阶段在东南亚，大部分银行的基础设施和组织架构决定了其仍然只能够依赖大量依赖人力来做出金融决策，导致决策效率、数据连接性、场景可延展性，以及多维度评估等因素综合形成了瓶颈，阻碍了银行的高效运营与业务拓展。   Silot利用人工智能为银行打造可延展的决策引擎，带来了更高效的支付体验，更安全的交易与获客，和更精准的信用决策。Silot正以颠覆东南亚金融业之势迅猛发展，服务客户包括印尼力宝集团旗下的Nobu Bank和泰国最大发卡行Krungsri Bank，并赢得Krungsri Bank战略投资。其创新与金融科技部门负责人Sam Tanskul评价道，“Silot团队具备强大的技术实力，从最开始我们就对Silot抱有充分的信任，与Silot深度的合作是毫无疑问的明智之举。”   2018年，Silot不仅荣获Visa全球创新项目亚太地区冠军，而且也成功入驻MasterCard Start Path全球加速器，成为2018年全球范围唯一同时获得Visa和MasterCard青睐的金融科技公司。   Silot创始人兼CEO李博晨(Andy Li)表示，中国无论在人工智能还是金融科技都走在世界前列，作为Fintech领域的出海企业，如何融入当地主流金融生态圈，将中国领先的技术和当地市场的需求相结合，并能够获得当地金融机构的信任，是非常有挑战但是值得去做的事情。   SBI集团总裁（前软银集团CFO）北尾吉孝先生对Silot充满信心，“Silot的智能平台通过知识图谱技术，极高地提升运营效率，帮助银行制定金融决策，这将为当地金融领域带来一场颠覆性的革命。作为Silot的主要投资方之一，SBI集团将不遗余力地助力Silot，在人工智能时代为日本和东南亚地区其它区域的银行赋能。”   今年年初，Silot被美国CIO Outlook评选为银行科技Top 20企业并成为Plug and Play中东区金融孵化企业。相对而言，中国的移动支付场景和互联网金融已经发展较为成熟，而包括东南亚市场在内的新兴市场却缺乏能够提供高效可延展解决方案，和跨业务场景的“银行大脑”。Silot正是应这一市场需求而生的创新性智能银行平台，本轮融资之后，Silot将在该领域进一步开疆拓土。,猎云网,A轮
